交叉对比切割份数,MLP,randome_forest,decision_tree,Logistic,KNN,xgb,Voting,,平均值,,,,,,,
6,0.6,0.6,0.461538462,0.584615385,0.492307692,0.538461538,0.6,,交叉对比切割份数,MLP,randome_forest,decision_tree,Logistic,KNN,xgb,vote
,0.507692308,0.523076923,0.4,0.584615385,0.6,0.553846154,0.584615385,,6,0.53994391,0.547636218,0.463020833,0.555328526,0.516907051,0.557932692,0.575961538
,0.476923077,0.523076923,0.492307692,0.492307692,0.507692308,0.584615385,0.553846154,,5,0.547685648,0.545054945,0.426839827,0.552747253,0.524508825,0.545054945,0.586180486
,0.507692308,0.523076923,0.4,0.538461538,0.415384615,0.538461538,0.523076923,,4,0.555280875,0.557831896,0.472990743,0.560356617,0.521907216,0.557831896,0.58878603
,0.569230769,0.538461538,0.446153846,0.553846154,0.492307692,0.538461538,0.569230769,,3,0.545020871,0.557821507,0.442178493,0.550149076,0.493718943,0.529715762,0.57076128
,0.578125,0.578125,0.578125,0.578125,0.59375,0.59375,0.625,,,,,,,,,
,,,,,,,0,,,,,,,,,
5,0.525641026,0.576923077,0.423076923,0.58974359,0.512820513,0.564102564,0.576923077,,,,,,,,,
,0.5,0.525641026,0.474358974,0.551282051,0.576923077,0.58974359,0.602564103,,,,,,,,,
,0.538461538,0.538461538,0.320512821,0.512820513,0.448717949,0.564102564,0.551282051,,,,,,,,,
,0.576923077,0.512820513,0.448717949,0.538461538,0.525641026,0.525641026,0.58974359,,,,,,,,,
,0.597402597,0.571428571,0.467532468,0.571428571,0.558441558,0.584415584,0.61038961,,,,,,,,,
,,,,,,,0,,,,,,,,,
4,0.551020408,0.56122449,0.479591837,0.581632653,0.5,0.571428571,0.551020408,,,,,,,,,
,0.546391753,0.536082474,0.422680412,0.546391753,0.515463918,0.577319588,0.556701031,,,,,,,,,
,0.567010309,0.567010309,0.463917526,0.556701031,0.525773196,0.567010309,0.618556701,,,,,,,,,
,0.556701031,0.567010309,0.525773196,0.556701031,0.546391753,0.587628866,0.628865979,,,,,,,,,
,,,,,,,0,,,,,,,,,
3,0.538461538,0.569230769,0.484615385,0.569230769,0.469230769,0.523076923,0.561538462,,,,,,,,,
,0.538461538,0.553846154,0.392307692,0.523076923,0.461538462,0.576923077,0.553846154,,,,,,,,,
,0.558139535,0.550387597,0.449612403,0.558139535,0.550387597,0.589147287,0.596899225,,,,,,,,,
